,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,119.983,0.112,0.151493687,792,0.081319547,0.006612869,0.754,0.067
0,7.773,0.1085,0.143944444,54,0.066965004,0.004484312,0.32,0.052
0,106.257,8.02,7.589785714,14,4.797825075,23.01912545,16.038,2.004
0,132.346,4.004,4.901703704,27,3.831978773,14.68406132,16.052,1.997
0,54.118,4.009,5.4118,10,3.239364191,10.49348036,12.025,2.002
0,117.181,1.1115,1.72325,68,1.810828218,3.279098835,8.804,0.253
0,122.764,0.837,1.349054945,91,1.54259358,2.379594953,11.009,0.257
0,119.987,1.079,1.518822785,79,1.294588139,1.67595845,6.36,0.248
0,14.298,0.8185,1.1915,12,1.147426868,1.316588417,4.418,0.217
0,119.645,0.279,0.415434028,288,0.242391476,0.058753628,1.89,0.237
0,120.345,0.2795,0.412140411,292,0.246982136,0.061000175,1.892,0.209
0,119.936,0.278,0.405189189,296,0.226577469,0.051337349,1.444,0.144
0,119.855,0.278,0.390407166,307,0.213050514,0.045390522,1.368,0.141
0,120.154,0.281,0.426078014,282,0.248754146,0.061878625,1.902,0.139
0,119.553,0.281,0.395870861,302,0.215540933,0.046457894,1.372,0.118
0,120.501,0.28,0.395085246,305,0.238656745,0.056957042,2.171,0.021
0,119.746,0.3015,0.433862319,276,0.277104129,0.076786698,2.171,0.098
0,39.425,0.323,0.45316092,87,0.31350429,0.09828494,2.096,0.071
0,117.25,1.271,2.345,50,2.916605458,8.5065874,16.963,0.25
0,120.663,2.06,3.016575,40,2.671103647,7.134794694,10.85,0.242
0,118.285,2.567,2.885,41,2.221177681,4.933630293,12.602,0.507
0,120.677,1.294,1.978311475,61,1.711813031,2.930303854,9.017,0.241
0,120.053,1.806,2.353980392,51,2.029396148,4.118448725,11.839,0.254
0,63.339,1.51,2.345888889,27,2.590556787,6.710984469,12.224,0.255
0,119.486,0.3705,0.474150794,252,0.395748559,0.156616922,3.002,0.127
0,120.29,0.374,0.503305439,239,0.548079594,0.300391241,5.821,0.051
0,120.129,0.3735,0.476702381,252,0.418090789,0.174799907,3.383,0.116
0,119.97,0.3715,0.582378641,206,0.658627989,0.433790828,6.029,0.065
0,119.433,0.372,0.4976375,240,0.443580533,0.196763689,3.18,0.019
0,120.556,0.383,0.641255319,188,0.679158803,0.461256679,5.422,0.054
0,3.2,0.514,0.8,4,0.68504197,0.4692825,1.944,0.228
0,119.881,0.373,0.466463035,257,0.356410695,0.127028583,1.89,0.108
0,104.186,0.375,0.534287179,195,0.541050184,0.292735302,4.298,0.086
0,32.292,16.146,16.146,2,0.098,0.009604,16.244,16.048
0,119.978,0.931,0.98342623,122,0.883131425,0.779921113,4.71,0.15
0,3.399,1.6995,1.6995,2,0.9415,0.88642225,2.641,0.758
0,119.541,0.821,0.948738095,126,0.917174017,0.841208177,7.976,0.249
0,120.226,0.778,1.054614035,114,1.057969451,1.11929936,6.614,0.235
0,119.692,0.764,0.913679389,131,0.831317764,0.691089225,5.223,0.186
0,113.491,0.818,0.937942149,121,0.782370854,0.612104154,5.808,0.222
0,119.529,0.5,0.603681818,198,0.508926593,0.259006278,3.298,0.223
0,119.998,0.545,0.70174269,171,0.660622021,0.436421454,6.083,0.236
0,118.225,0.5435,0.656805556,180,0.526393337,0.277089946,3.86,0.203
0,121.793,0.533,0.651299465,187,0.616960166,0.380639846,4.062,0.168
0,119.657,0.512,0.607395939,197,0.526085801,0.27676627,3.569,0.128
0,120.718,0.5445,0.701848837,172,0.650278742,0.422862442,4.962,0.156
0,119.914,0.551,0.693144509,173,0.577976945,0.334057349,3.595,0.053
0,10.375,0.556,0.610294118,17,0.369185712,0.13629809,1.668,0.159
0,119.663,0.765,0.972869919,123,0.863866652,0.746265593,4.68,0.236
0,10.84,0.781,1.204444444,9,1.088621158,1.185096025,3.856,0.257
0,118.969,0.816,0.967227642,123,0.829331897,0.687791395,4.949,0.241
0,61.117,0.832,1.198372549,51,1.180808778,1.394309371,6.362,0.272
0,119.98,0.382,0.550366972,218,0.470854633,0.221704086,3.181,0.027
0,120.016,0.378,0.60008,200,0.653763339,0.427406504,5.629,0.031
0,119.44,0.361,0.489508197,244,0.507735801,0.257795643,4.122,0.035
0,120.248,0.371,0.522817391,230,0.540955999,0.292633393,3.966,0.021
0,120.292,0.512,0.687382857,175,0.631788271,0.399156419,4.124,0.033
0,119.547,0.397,0.561253521,213,0.486008918,0.236204668,3.194,0.047
0,119.359,0.3735,0.532852679,224,0.546350882,0.298499286,4.345,0.017
0,120.794,0.4195,0.597990099,202,0.56472188,0.318910802,3.842,0.013
0,103.407,0.553,0.765977778,135,0.726810572,0.528253607,4.13,0.034
0,116.367,3.0165,3.232416667,36,1.438980491,2.070664854,8.014,1.969
0,118.53,2.016,3.119210526,38,1.576367162,2.484933429,8.057,1.98
0,122.221,2.025,3.30327027,37,1.692288466,2.863840251,8.027,1.954
0,120.374,2.023,3.253351351,37,1.704339314,2.904772498,8.022,1.974
0,120.422,2.044,3.254648649,37,1.508334202,2.275072066,6.066,1.915
0,120.328,2.015,2.864952381,42,1.32807987,1.763796141,8.026,1.945
0,118.33,3.0045,3.286944444,36,1.43054265,2.046452275,6.027,1.982
0,36.108,2.019,3.009,12,1.295408172,1.678082333,6.018,1.993
0,116.322,2.014,3.323485714,35,2.029351119,4.118265964,12.025,1.981
0,122.313,2.0305,3.82228125,32,2.677925051,7.171282577,12.098,1.929
0,120.318,2.009,3.166263158,38,2.19177522,4.803878615,12.055,1.983
0,120.639,2.012,2.741795455,44,1.288512683,1.660264935,6.031,1.929
0,120.334,2.012,3.166684211,38,1.569781867,2.464215111,6.031,1.987
0,118.305,2.012,3.033461538,39,1.628126969,2.650797428,8.024,1.987
0,120.36,2.073,3.086153846,39,1.27817764,1.633738079,6.016,1.913
0,58.12,2.01,2.641818182,22,1.114154128,1.241339421,6.032,1.987
0,118.292,2.0235,4.549692308,26,5.317516415,28.27598083,28.056,1.969
0,120.245,4.009,4.624807692,26,3.551666272,12.61433331,14.042,1.971
