,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum,Experiment Number,Unnamed: 1,Energy Management,Interval,Environment,Test Duration
0,117.714,6.915,6.924352941,17,3.365695277,11.3279047,13.843,3.43,57,Extra Capacitor,CySysLvdDisable,4 second,Office - Min light,10 mins
1,31.148,6.9375,7.787,4,4.50646885,20.3082615,13.855,3.418,57,Extra Capacitor,CySysLvdDisable,4 second,Office - Min light,10 mins
2,106.584,1.372,5.609684211,19,6.863395163,47.10619316,19.368,0.633,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
3,121.839,1.363,5.801857143,21,6.656378883,44.30737984,16.667,0.62,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
4,119.685,1.021,5.98425,20,7.046523149,49.65348849,17.306,0.643,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
5,121.04,1.373,5.763809524,21,6.690075219,44.75710644,17.958,0.662,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
6,121.664,1.334,4.86656,25,6.183340962,38.23370545,15.903,0.679,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
7,85.72,1.3225,5.3575,16,6.396212532,40.91153475,15.273,0.657,43,Extra Capacitor,CY_LVD_THRESHOLD_2_50_V,1 second,Office - light ON,10 mins
8,113.594,6.8775,28.3985,4,37.29423712,1390.860122,92.994,6.845,42,Extra Capacitor,CY_LVD_THRESHOLD_2_00_V,7 second,Office - Min Light,10 mins
9,122.334,13.784,40.778,3,43.15149616,1862.051621,101.673,6.877,42,Extra Capacitor,CY_LVD_THRESHOLD_2_00_V,7 second,Office - Min Light,10 mins
10,123.625,13.803,41.20833333,3,43.67855756,1907.81639,102.853,6.969,42,Extra Capacitor,CY_LVD_THRESHOLD_2_00_V,7 second,Office - Min Light,10 mins
11,120.141,6.93,30.03525,4,40.07144984,1605.721092,99.441,6.84,42,Extra Capacitor,CY_LVD_THRESHOLD_2_00_V,7 second,Office - Min Light,10 mins
12,114.103,57.0515,57.0515,2,50.0915,2509.158372,107.143,6.96,42,Extra Capacitor,CY_LVD_THRESHOLD_2_00_V,7 second,Office - Min Light,10 mins
13,119.327,3.517,10.84790909,11,12.65868144,160.2422157,42.139,3.493,56,Extra Capacitor,CySysLvdDisable,4 seconds,Office - light OFF,10 mins
14,84.601,3.514,7.691,11,9.06891099,82.24514655,35.498,3.496,56,Extra Capacitor,CySysLvdDisable,4 seconds,Office - light OFF,10 mins
15,134.451,6.986,12.22281818,11,13.87990182,192.6516745,42.772,3.504,56,Extra Capacitor,CySysLvdDisable,4 seconds,Office - light OFF,10 mins
16,134.41,5.2605,9.600714286,14,10.92165461,119.2825393,39.158,3.488,56,Extra Capacitor,CySysLvdDisable,4 seconds,Office - light OFF,10 mins
