,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,109.606,6.855,9.133833333,12,3.228773628,10.42497914,13.706,6.842
0,130.136,6.853,9.295428571,14,5.554755938,30.85531353,27.391,6.836
0,116.485,6.867,10.58954545,11,4.49582959,20.2124837,20.575,6.819
0,123.261,6.855,10.27175,12,4.423536728,19.56767719,20.546,6.832
0,116.287,6.844,12.92077778,9,8.190539906,67.08494395,27.375,6.827
0,123.005,6.84,9.461923077,13,4.269856716,18.23167638,20.498,6.812
0,116.055,6.828,8.289642857,14,2.802340976,7.853114944,13.667,6.805
0,122.934,6.834,9.456461538,13,3.323035374,11.04256409,13.67,6.824
0,116.247,6.845,8.942076923,13,4.145281571,17.1833593,20.519,6.808
0,116.311,6.845,11.6311,10,6.880722876,47.34434729,27.368,6.821
0,116.388,13.683,16.62685714,7,10.26293073,105.3277473,34.239,6.821
0,123.263,6.851,8.217533333,15,2.736087642,7.486175582,13.706,6.831
0,123.262,6.863,11.20563636,11,6.701899938,44.91546278,27.388,6.83
0,123.3,6.876,11.20909091,11,5.284391983,27.92479863,20.559,6.821
0,89.044,6.86,8.9044,10,3.134244955,9.82349144,13.698,6.825
