,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
101,102,27-11-2022 02:10:05:860,-,40:FC:A2:6C:61:C0,-62,09e0000012ca52458e
118,119,27-11-2022 02:10:06:122,-,40:FC:A2:6C:61:C0,-66,09e0000012ca52458e
138,139,27-11-2022 02:10:06:381,-,40:FC:A2:6C:61:C0,-63,09e0000012ca52458e
153,154,27-11-2022 02:10:06:621,-,40:FC:A2:6C:61:C0,-61,09e0000012ca52458e
167,168,27-11-2022 02:10:06:881,-,40:FC:A2:6C:61:C0,-55,09e0000012ca52458e
224,225,27-11-2022 02:10:08:170,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
232,233,27-11-2022 02:10:08:436,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
269,270,27-11-2022 02:10:09:213,-,40:FC:A2:6C:61:C0,-59,09e0000012ca52458e
277,278,27-11-2022 02:10:09:463,-,40:FC:A2:6C:61:C0,-59,09e0000012ca52458e
302,303,27-11-2022 02:10:09:984,-,40:FC:A2:6C:61:C0,-64,09e0000012ca52458e
317,318,27-11-2022 02:10:10:238,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
352,353,27-11-2022 02:10:10:759,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
376,377,27-11-2022 02:10:11:271,-,40:FC:A2:6C:61:C0,-55,09e0000012ca52458e
410,411,27-11-2022 02:10:11:799,-,40:FC:A2:6C:61:C0,-57,09e0000012ca52458e
451,452,27-11-2022 02:10:12:580,-,40:FC:A2:6C:61:C0,-56,09e0000012ca52458e
485,486,27-11-2022 02:10:13:076,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
503,504,27-11-2022 02:10:13:343,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
522,523,27-11-2022 02:10:13:605,-,40:FC:A2:6C:61:C0,-57,09e0000012ca52458e
573,574,27-11-2022 02:10:14:378,-,40:FC:A2:6C:61:C0,-61,09e0000012ca52458e
588,589,27-11-2022 02:10:14:624,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
606,607,27-11-2022 02:10:14:884,-,40:FC:A2:6C:61:C0,-57,09e0000012ca52458e
623,624,27-11-2022 02:10:15:137,-,40:FC:A2:6C:61:C0,-57,09e0000012ca52458e
641,642,27-11-2022 02:10:15:391,-,40:FC:A2:6C:61:C0,-61,09e0000012ca52458e
678,679,27-11-2022 02:10:15:916,-,40:FC:A2:6C:61:C0,-56,09e0000012ca52458e
719,720,27-11-2022 02:10:16:708,-,40:FC:A2:6C:61:C0,-62,09e0000012ca52458e
769,770,27-11-2022 02:10:17:456,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
835,836,27-11-2022 02:10:18:483,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
890,891,27-11-2022 02:10:19:259,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
910,911,27-11-2022 02:10:19:530,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
930,931,27-11-2022 02:10:19:787,-,40:FC:A2:6C:61:C0,-61,09e0000012ca52458e
956,957,27-11-2022 02:10:20:302,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
975,976,27-11-2022 02:10:20:557,-,40:FC:A2:6C:61:C0,-61,09e0000012ca52458e
992,993,27-11-2022 02:10:20:812,-,40:FC:A2:6C:61:C0,-60,09e0000012ca52458e
1012,1013,27-11-2022 02:10:21:069,-,40:FC:A2:6C:61:C0,-68,09e0000012ca52458e
1029,1030,27-11-2022 02:10:21:328,-,40:FC:A2:6C:61:C0,-66,09e0000012ca52458e
1099,1100,27-11-2022 02:10:22:343,-,40:FC:A2:6C:61:C0,-65,09e0000012ca52458e
1127,1128,27-11-2022 02:10:22:871,-,40:FC:A2:6C:61:C0,-62,09e0000012ca52458e
1151,1152,27-11-2022 02:10:23:116,-,40:FC:A2:6C:61:C0,-62,09e0000012ca52458e
1166,1167,27-11-2022 02:10:23:368,-,40:FC:A2:6C:61:C0,-66,09e0000012ca52458e
1182,1183,27-11-2022 02:10:23:626,-,40:FC:A2:6C:61:C0,-63,09e0000012ca52458e
1256,1257,27-11-2022 02:10:24:930,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
1312,1313,27-11-2022 02:10:25:688,-,40:FC:A2:6C:61:C0,-64,09e0000012ca52458e
1325,1326,27-11-2022 02:10:25:949,-,40:FC:A2:6C:61:C0,-56,09e0000012ca52458e
1363,1364,27-11-2022 02:10:26:456,-,40:FC:A2:6C:61:C0,-58,09e0000012ca52458e
1486,1487,27-11-2022 02:10:28:261,-,40:FC:A2:6C:61:C0,-57,09e0000012ca52458e
