Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,26-12-2021 19:43:01:234,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016861c3
2,26-12-2021 19:43:08:247,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100016961c3
3,26-12-2021 19:43:15:272,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100016961c3
4,26-12-2021 19:43:29:313,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016961c3
5,26-12-2021 19:43:36:340,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016a61c3
6,26-12-2021 19:43:43:364,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016a61c3
7,26-12-2021 19:43:57:417,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100016a61c3
8,26-12-2021 19:44:04:440,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016a61c3
9,26-12-2021 19:44:11:469,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016a61c3
10,26-12-2021 19:44:25:530,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016b61c3
11,26-12-2021 19:44:32:553,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100016b61c3
12,26-12-2021 19:44:39:584,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100016b61c3
13,26-12-2021 19:44:46:613,-,00:A0:50:0C:22:10,-60,1a1310002150005000100001000800000805f9b013100016b61c3
14,26-12-2021 19:44:53:643,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016b61c3
15,26-12-2021 19:45:00:676,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016b61c3
16,26-12-2021 19:45:07:708,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016b61c3
17,26-12-2021 19:45:21:767,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100016c61c3
18,26-12-2021 19:45:28:798,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016c60c3
19,26-12-2021 19:45:35:835,-,00:A0:50:0C:22:10,-60,1a1310002150005000100001000800000805f9b013100016c60c3
20,26-12-2021 19:45:42:870,-,00:A0:50:0C:22:10,-63,1a1310002150005000100001000800000805f9b013100016c60c3
21,26-12-2021 19:45:56:932,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100016c60c3
