Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,21-11-2022 03:16:38:510,-,60:C0:BF:2A:EA:C9,-62,200
2,21-11-2022 03:16:40:524,-,60:C0:BF:2A:EA:C9,-53,200
3,21-11-2022 03:16:42:520,-,60:C0:BF:2A:EA:C9,-50,200
4,21-11-2022 03:16:44:535,-,60:C0:BF:2A:EA:C9,-50,200
5,21-11-2022 03:16:46:538,-,60:C0:BF:2A:EA:C9,-50,200
6,21-11-2022 03:16:48:528,-,60:C0:BF:2A:EA:C9,-55,200
7,21-11-2022 03:16:50:538,-,60:C0:BF:2A:EA:C9,-55,200
8,21-11-2022 03:16:52:533,-,60:C0:BF:2A:EA:C9,-51,200
9,21-11-2022 03:16:54:548,-,60:C0:BF:2A:EA:C9,-53,200
10,21-11-2022 03:16:56:543,-,60:C0:BF:2A:EA:C9,-51,200
11,21-11-2022 03:17:00:546,-,60:C0:BF:2A:EA:C9,-55,200
12,21-11-2022 03:17:02:560,-,60:C0:BF:2A:EA:C9,-55,200
13,21-11-2022 03:17:04:549,-,60:C0:BF:2A:EA:C9,-53,200
14,21-11-2022 03:17:06:562,-,60:C0:BF:2A:EA:C9,-53,200
15,21-11-2022 03:17:08:579,-,60:C0:BF:2A:EA:C9,-53,200
16,21-11-2022 03:17:10:565,-,60:C0:BF:2A:EA:C9,-56,200
17,21-11-2022 03:17:14:567,-,60:C0:BF:2A:EA:C9,-55,200
18,21-11-2022 03:17:16:564,-,60:C0:BF:2A:EA:C9,-52,200
19,21-11-2022 03:17:22:587,-,60:C0:BF:2A:EA:C9,-55,200
20,21-11-2022 03:17:26:582,-,60:C0:BF:2A:EA:C9,-53,200
21,21-11-2022 03:17:28:587,-,60:C0:BF:2A:EA:C9,-52,200
22,21-11-2022 03:17:32:589,-,60:C0:BF:2A:EA:C9,-53,200
23,21-11-2022 03:17:34:623,-,60:C0:BF:2A:EA:C9,-56,200
24,21-11-2022 03:17:38:605,-,60:C0:BF:2A:EA:C9,-56,200
25,21-11-2022 03:17:40:606,-,60:C0:BF:2A:EA:C9,-55,200
26,21-11-2022 03:17:42:610,-,60:C0:BF:2A:EA:C9,-54,200
27,21-11-2022 03:17:44:609,-,60:C0:BF:2A:EA:C9,-53,200
28,21-11-2022 03:17:50:622,-,60:C0:BF:2A:EA:C9,-53,200
29,21-11-2022 03:17:54:625,-,60:C0:BF:2A:EA:C9,-53,200
30,21-11-2022 03:17:56:632,-,60:C0:BF:2A:EA:C9,-57,200
31,21-11-2022 03:18:00:638,-,60:C0:BF:2A:EA:C9,-56,200
32,21-11-2022 03:18:02:641,-,60:C0:BF:2A:EA:C9,-55,200
33,21-11-2022 03:18:04:639,-,60:C0:BF:2A:EA:C9,-53,200
34,21-11-2022 03:18:06:643,-,60:C0:BF:2A:EA:C9,-52,200
35,21-11-2022 03:18:10:650,-,60:C0:BF:2A:EA:C9,-54,200
36,21-11-2022 03:18:12:657,-,60:C0:BF:2A:EA:C9,-55,200
37,21-11-2022 03:18:14:660,-,60:C0:BF:2A:EA:C9,-53,200
38,21-11-2022 03:18:16:652,-,60:C0:BF:2A:EA:C9,-53,200
39,21-11-2022 03:18:20:663,-,60:C0:BF:2A:EA:C9,-52,200
40,21-11-2022 03:18:22:672,-,60:C0:BF:2A:EA:C9,-55,200
41,21-11-2022 03:18:24:662,-,60:C0:BF:2A:EA:C9,-56,200
42,21-11-2022 03:18:26:672,-,60:C0:BF:2A:EA:C9,-56,200
43,21-11-2022 03:18:30:679,-,60:C0:BF:2A:EA:C9,-56,200
44,21-11-2022 03:18:36:685,-,60:C0:BF:2A:EA:C9,-55,200
45,21-11-2022 03:18:42:696,-,60:C0:BF:2A:EA:C9,-53,200
46,21-11-2022 03:18:44:698,-,60:C0:BF:2A:EA:C9,-60,200
47,21-11-2022 03:18:48:716,-,60:C0:BF:2A:EA:C9,-55,200
48,21-11-2022 03:18:54:707,-,60:C0:BF:2A:EA:C9,-53,200
49,21-11-2022 03:19:02:749,-,60:C0:BF:2A:EA:C9,-52,200
50,21-11-2022 03:19:06:739,-,60:C0:BF:2A:EA:C9,-56,200
51,21-11-2022 03:19:08:732,-,60:C0:BF:2A:EA:C9,-55,200
52,21-11-2022 03:19:10:735,-,60:C0:BF:2A:EA:C9,-54,200
53,21-11-2022 03:19:12:733,-,60:C0:BF:2A:EA:C9,-55,200
54,21-11-2022 03:19:14:741,-,60:C0:BF:2A:EA:C9,-53,200
55,21-11-2022 03:19:16:754,-,60:C0:BF:2A:EA:C9,-52,200
56,21-11-2022 03:19:18:757,-,60:C0:BF:2A:EA:C9,-56,200
57,21-11-2022 03:19:20:741,-,60:C0:BF:2A:EA:C9,-56,200
58,21-11-2022 03:19:22:747,-,60:C0:BF:2A:EA:C9,-56,200
59,21-11-2022 03:19:24:752,-,60:C0:BF:2A:EA:C9,-59,200
60,21-11-2022 03:19:26:761,-,60:C0:BF:2A:EA:C9,-53,200
61,21-11-2022 03:19:28:756,-,60:C0:BF:2A:EA:C9,-53,200
62,21-11-2022 03:19:30:763,-,60:C0:BF:2A:EA:C9,-53,200
63,21-11-2022 03:19:32:768,-,60:C0:BF:2A:EA:C9,-56,200
64,21-11-2022 03:19:34:770,-,60:C0:BF:2A:EA:C9,-52,200
65,21-11-2022 03:19:40:775,-,60:C0:BF:2A:EA:C9,-55,200
66,21-11-2022 03:19:42:783,-,60:C0:BF:2A:EA:C9,-55,200
67,21-11-2022 03:19:44:784,-,60:C0:BF:2A:EA:C9,-55,200
68,21-11-2022 03:19:48:798,-,60:C0:BF:2A:EA:C9,-55,200
69,21-11-2022 03:19:50:799,-,60:C0:BF:2A:EA:C9,-52,200
70,21-11-2022 03:19:52:809,-,60:C0:BF:2A:EA:C9,-53,200
71,21-11-2022 03:19:54:800,-,60:C0:BF:2A:EA:C9,-53,200
72,21-11-2022 03:19:58:800,-,60:C0:BF:2A:EA:C9,-56,200
73,21-11-2022 03:20:00:814,-,60:C0:BF:2A:EA:C9,-55,200
74,21-11-2022 03:20:04:820,-,60:C0:BF:2A:EA:C9,-55,200
75,21-11-2022 03:20:06:818,-,60:C0:BF:2A:EA:C9,-53,200
76,21-11-2022 03:20:10:822,-,60:C0:BF:2A:EA:C9,-56,200
77,21-11-2022 03:20:12:816,-,60:C0:BF:2A:EA:C9,-54,200
78,21-11-2022 03:20:14:826,-,60:C0:BF:2A:EA:C9,-53,200
79,21-11-2022 03:20:16:826,-,60:C0:BF:2A:EA:C9,-53,200
80,21-11-2022 03:20:18:838,-,60:C0:BF:2A:EA:C9,-52,200
81,21-11-2022 03:20:30:858,-,60:C0:BF:2A:EA:C9,-54,200
82,21-11-2022 03:20:36:855,-,60:C0:BF:2A:EA:C9,-55,200
83,21-11-2022 03:20:38:870,-,60:C0:BF:2A:EA:C9,-55,200
84,21-11-2022 03:20:40:870,-,60:C0:BF:2A:EA:C9,-53,200
85,21-11-2022 03:20:44:867,-,60:C0:BF:2A:EA:C9,-56,200
86,21-11-2022 03:20:46:870,-,60:C0:BF:2A:EA:C9,-56,200
87,21-11-2022 03:20:48:876,-,60:C0:BF:2A:EA:C9,-55,200
88,21-11-2022 03:20:50:877,-,60:C0:BF:2A:EA:C9,-55,200
89,21-11-2022 03:20:52:877,-,60:C0:BF:2A:EA:C9,-53,200
90,21-11-2022 03:20:54:887,-,60:C0:BF:2A:EA:C9,-60,200
91,21-11-2022 03:20:56:880,-,60:C0:BF:2A:EA:C9,-53,200
92,21-11-2022 03:20:58:884,-,60:C0:BF:2A:EA:C9,-56,200
93,21-11-2022 03:21:00:900,-,60:C0:BF:2A:EA:C9,-55,200
94,21-11-2022 03:21:02:899,-,60:C0:BF:2A:EA:C9,-55,200
95,21-11-2022 03:21:04:894,-,60:C0:BF:2A:EA:C9,-52,200
