Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,23-05-2022 13:58:58:702,-,00:A0:50:0C:22:10,-38,1a1310002150005000100001000800000805f9b013100015b66c3
2,23-05-2022 13:59:05:552,-,00:A0:50:0C:22:10,-39,1a1310002150005000100001000800000805f9b013100015b66c3
3,23-05-2022 14:04:38:067,-,00:A0:50:0C:22:10,-43,1a1310002150005000100001000800000805f9b013100015a66c3
4,23-05-2022 14:04:44:917,-,00:A0:50:0C:22:10,-44,1a1310002150005000100001000800000805f9b013100015966c3
5,23-05-2022 14:04:51:766,-,00:A0:50:0C:22:10,-47,1a1310002150005000100001000800000805f9b013100015966c3
6,23-05-2022 14:04:58:612,-,00:A0:50:0C:22:10,-48,1a1310002150005000100001000800000805f9b013100015a66c3
7,23-05-2022 14:05:05:453,-,00:A0:50:0C:22:10,-48,1a1310002150005000100001000800000805f9b013100015a66c3
8,23-05-2022 14:05:19:145,-,00:A0:50:0C:22:10,-44,1a1310002150005000100001000800000805f9b013100015a66c3
9,23-05-2022 14:05:26:000,-,00:A0:50:0C:22:10,-38,1a1310002150005000100001000800000805f9b013100015a66c3
10,23-05-2022 14:05:32:847,-,00:A0:50:0C:22:10,-45,1a1310002150005000100001000800000805f9b013100015966c3
11,23-05-2022 14:05:39:694,-,00:A0:50:0C:22:10,-52,1a1310002150005000100001000800000805f9b013100015966c3
12,23-05-2022 14:05:46:536,-,00:A0:50:0C:22:10,-46,1a1310002150005000100001000800000805f9b013100015a66c3
13,23-05-2022 14:06:07:085,-,00:A0:50:0C:22:10,-44,1a1310002150005000100001000800000805f9b013100015a66c3
14,23-05-2022 14:06:13:930,-,00:A0:50:0C:22:10,-48,1a1310002150005000100001000800000805f9b013100015a66c3
15,23-05-2022 14:06:20:797,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100015a66c3
16,23-05-2022 14:06:27:635,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100015a66c3
17,23-05-2022 14:06:34:479,-,00:A0:50:0C:22:10,-40,1a1310002150005000100001000800000805f9b013100015a66c3
18,23-05-2022 14:06:41:324,-,00:A0:50:0C:22:10,-41,1a1310002150005000100001000800000805f9b013100015a66c3
19,23-05-2022 14:06:48:174,-,00:A0:50:0C:22:10,-40,1a1310002150005000100001000800000805f9b013100015a66c3
20,23-05-2022 14:06:55:020,-,00:A0:50:0C:22:10,-39,1a1310002150005000100001000800000805f9b013100015a66c3
21,23-05-2022 14:07:01:870,-,00:A0:50:0C:22:10,-44,1a1310002150005000100001000800000805f9b013100015a66c3
22,23-05-2022 14:07:08:716,-,00:A0:50:0C:22:10,-44,1a1310002150005000100001000800000805f9b013100015a66c3
23,23-05-2022 14:07:15:576,-,00:A0:50:0C:22:10,-43,1a1310002150005000100001000800000805f9b013100015a66c3
24,23-05-2022 14:07:22:411,-,00:A0:50:0C:22:10,-43,1a1310002150005000100001000800000805f9b013100015a66c3
25,23-05-2022 14:07:29:265,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100015a66c3
26,23-05-2022 14:07:36:108,-,00:A0:50:0C:22:10,-56,1a1310002150005000100001000800000805f9b013100015a66c3
27,23-05-2022 14:07:42:957,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100015a66c3
28,23-05-2022 14:08:03:502,-,00:A0:50:0C:22:10,-48,1a1310002150005000100001000800000805f9b013100015a66c3
