Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,23-05-2022 13:24:48:718,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015a67c3
2,23-05-2022 13:25:02:382,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015967c3
3,23-05-2022 13:25:16:064,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015967c3
4,23-05-2022 13:25:20:869,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015a67c3
5,23-05-2022 13:25:27:708,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015967c3
6,23-05-2022 13:25:34:549,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015967c3
7,23-05-2022 13:25:41:411,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015967c3
8,23-05-2022 13:25:48:236,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015967c3
9,23-05-2022 13:25:55:083,-,00:A0:50:0C:22:10,-24,1a1310002150005000100001000800000805f9b013100015967c3
10,23-05-2022 13:26:01:930,-,00:A0:50:0C:22:10,-24,1a1310002150005000100001000800000805f9b013100015867c3
11,23-05-2022 13:26:15:613,-,00:A0:50:0C:22:10,-26,1a1310002150005000100001000800000805f9b013100015867c3
12,23-05-2022 13:26:22:433,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015867c3
13,23-05-2022 13:26:29:273,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015867c3
14,23-05-2022 13:26:42:972,-,00:A0:50:0C:22:10,-24,1a1310002150005000100001000800000805f9b013100015867c3
15,23-05-2022 13:26:49:802,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015767c3
16,23-05-2022 13:26:56:636,-,00:A0:50:0C:22:10,-26,1a1310002150005000100001000800000805f9b013100015767c3
17,23-05-2022 13:27:03:482,-,00:A0:50:0C:22:10,-26,1a1310002150005000100001000800000805f9b013100015767c3
18,23-05-2022 13:27:10:321,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015767c3
19,23-05-2022 13:27:30:860,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015767c3
20,23-05-2022 13:27:37:697,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015767c3
21,23-05-2022 13:27:51:379,-,00:A0:50:0C:22:10,-24,1a1310002150005000100001000800000805f9b013100015867c3
22,23-05-2022 13:27:58:224,-,00:A0:50:0C:22:10,-24,1a1310002150005000100001000800000805f9b013100015767c3
23,23-05-2022 13:28:18:739,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015867c3
24,23-05-2022 13:28:39:279,-,00:A0:50:0C:22:10,-25,1a1310002150005000100001000800000805f9b013100015867c3
25,23-05-2022 13:28:46:119,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015867c3
