Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,23-05-2022 13:04:53:225,-,00:A0:50:0C:22:10,-35,1a1310002150005000100001000800000805f9b013100015968c3
2,23-05-2022 13:05:00:040,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015968c3
3,23-05-2022 13:05:06:868,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015867c3
4,23-05-2022 13:05:13:701,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015867c3
5,23-05-2022 13:05:20:532,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015867c3
6,23-05-2022 13:05:27:398,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015767c3
7,23-05-2022 13:05:34:201,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015767c3
8,23-05-2022 13:05:41:046,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015767c3
9,23-05-2022 13:05:47:888,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015767c3
10,23-05-2022 13:05:54:700,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015767c3
11,23-05-2022 13:06:08:395,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015667c3
12,23-05-2022 13:06:15:221,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
13,23-05-2022 13:06:22:032,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
14,23-05-2022 13:06:42:535,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
15,23-05-2022 13:06:49:373,-,00:A0:50:0C:22:10,-29,1a1310002150005000100001000800000805f9b013100015667c3
16,23-05-2022 13:06:56:203,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015667c3
17,23-05-2022 13:07:16:734,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015667c3
18,23-05-2022 13:07:30:377,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
19,23-05-2022 13:07:37:232,-,00:A0:50:0C:22:10,-27,1a1310002150005000100001000800000805f9b013100015667c3
20,23-05-2022 13:07:44:045,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
21,23-05-2022 13:07:50:882,-,00:A0:50:0C:22:10,-29,1a1310002150005000100001000800000805f9b013100015667c3
22,23-05-2022 13:08:04:550,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015667c3
23,23-05-2022 13:08:11:389,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015667c3
24,23-05-2022 13:08:37:685,-,00:A0:50:0C:22:10,-30,1a1310002150005000100001000800000805f9b013100015667c3
25,23-05-2022 13:08:51:356,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015667c3
26,23-05-2022 13:08:58:187,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
27,23-05-2022 13:09:40:541,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015667c3
28,23-05-2022 13:09:47:367,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
29,23-05-2022 13:10:32:895,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
30,23-05-2022 13:10:39:732,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
31,23-05-2022 13:11:42:223,-,00:A0:50:0C:22:10,-29,1a1310002150005000100001000800000805f9b013100015667c3
32,23-05-2022 13:12:26:169,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
33,23-05-2022 13:12:33:000,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
34,23-05-2022 13:13:17:958,-,00:A0:50:0C:22:10,-31,1a1310002150005000100001000800000805f9b013100015667c3
35,23-05-2022 13:13:24:800,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
36,23-05-2022 13:14:09:998,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
37,23-05-2022 13:14:16:835,-,00:A0:50:0C:22:10,-28,1a1310002150005000100001000800000805f9b013100015667c3
38,23-05-2022 13:14:23:687,-,00:A0:50:0C:22:10,-29,1a1310002150005000100001000800000805f9b013100015667c3
39,23-05-2022 13:14:57:746,-,00:A0:50:0C:22:10,-32,1a1310002150005000100001000800000805f9b013100015667c3
