Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
14,19-12-2021 16:11:57:225,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100016c66c3
15,19-12-2021 16:12:05:170,-,00:A0:50:0C:22:10,-48,1a1310002150005000100001000800000805f9b013100016c66c3
16,19-12-2021 16:12:13:075,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100016c66c3
17,19-12-2021 16:12:20:986,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100016c66c3
18,19-12-2021 16:12:28:889,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100016c66c3
19,19-12-2021 16:12:36:789,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100016c66c3
20,19-12-2021 16:12:44:674,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100016c66c3
21,19-12-2021 16:12:52:558,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100016c66c3
22,19-12-2021 16:13:08:496,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100016d66c3
23,19-12-2021 16:13:40:806,-,00:A0:50:0C:22:10,-57,1a1310002150005000100001000800000805f9b013100016c66c3
24,19-12-2021 16:13:48:939,-,00:A0:50:0C:22:10,-60,1a1310002150005000100001000800000805f9b013100016c66c3
25,19-12-2021 16:14:05:092,-,00:A0:50:0C:22:10,-52,1a1310002150005000100001000800000805f9b013100016c66c3
26,19-12-2021 16:14:13:014,-,00:A0:50:0C:22:10,-52,1a1310002150005000100001000800000805f9b013100016d66c3
